	PB	36640			6073
	PB	36880			6560
	PB	37040			6193
	P	37160			7160
	P	37360			2748
	PB	37520			5720
	PB	37760			5702
	PB	37840			5987
	PB	38160			6382
	P	38200			2896
	P	38280			2884
	P	38400			3006
	P	38480			2956
	P	38560			3112
	P	38680			3250
	P	38760			2879
	P	38840			3182
	P	38960			3149
	P	39040			3163
	P	39160			3472
	P	39280			3359
	P	39360			3201
	P	39480			3388
	P	39560			3237
	P	39680			3710
	P	39800			3384
	P	39880			3378
	P	40000			3562
	P	40120			3418
	P	40200			3287
	P	40320			3563
	P	40440			3345
	P	40520			3086
	P	40640			3136
	P	40720			3200
	P	40840			3642
	P	40960			3319
	P	41040			3186
	P	41160			3256
	P	41240			3314
	P	41360			3482
	P	41480			3284
	P	41560			2966
	PB	41720			5581
	PB	41960			6667
	PB	42120			6461
	PB	42360			6369
	PB	42520			6303
	PB	42760			6205
	PB	42920			6375
	P	43040			2674
	P	43120			3201
	P	43200			3082
	P	43320			3284
	P	43400			3069
	P	43520			3403
	PB	43680			6841
	P	43840			2696
	P	43920			2722
	PB	44080			6550
	PB	44320			5679
	PB	44480			6184
	PB	44640			6319
	PB	44880			6420
	P	44960			2443
	P	45040			3091
	P	45160			3279
	P	45240			3277
	P	45360			3249
	P	45440			3119
	PB	45680			6607
	PB	45840			5856
	PB	46000			6219
	PB	46240			6027
	PB	46400			6187
	PB	46640			6712
	P	46720			3027
	P	46800			2722
	PB	47040			6563
	P	47120			2261
	P	47200			2806
	PB	47360			6367
	P	47480			2465
	P	47560			2944
	PB	47720			6468
	P	47840			2373
	P	47920			3239
	PB	48080			6828
	PB	48400			6870
	PB	48480			5641
	P	48600			3178
	P	48720			3264
	P	48800			3111
	P	48920			3393
	P	49040			3363
	P	49120			3048
	P	49240			3370
	P	49320			2956
	P	49440			3449
	P	49520			3193
	P	49640			3430
	P	49720			3207
	P	49840			3634
	P	49960			3331
	P	50040			3150
	P	50160			3274
	P	50240			3198
	P	50360			3418
	P	50480			3307
	P	50560			3248
	P	50680			3552
	P	50760			2928
	P	50880			3350
	P	50960			2961
	P	51080			3258
	P	51160			3379
	P	51280			3512
	P	51400			2963
	P	51480			3235
	P	51560			3273
	P	51680			3310
	P	51800			3365
	PB	51960			6698
	P	52080			3102
	P	52200			3336
	PB	52360			6921
	P	52520			3062
	P	52600			3092
	P	52720			3549
	P	52800			3060
	P	52920			3456
	P	53040			3632
	PB	53200			6548
	PB	53440			6563
	PB	53680			6660
	PB	53840			6071
	PB	54080			6585
	PB	54240			6097
	PB	54400			6067
	PB	54640			6185
	PB	54800			5927
	PB	55040			5874
	PB	55120			5513
	PB	55440			6627
	PB	55520			5773
	PB	55760			6346
	PB	55920			6268
	PB	56160			6019
	PB	56320			5754
	PB	56480			5923
	P	56600			2763
	P	56680			3209
	PB	56920			6309
	PB	57080			5765
	PB	57240			6233
	PB	57480			6344
	P	57560			2987
	P	57640			2857
	PB	57800			6510
	PB	58120			6755
	PB	58200			5664
	PB	58440			6597
	PB	58600			6344
	PB	58840			6562
	PB	59000			5858
	PB	59240			6414
	PB	59400			6095
	PB	59640			6768
	PB	59800			6199
	PB	60040			6431
	PB	60200			6258
	PB	60440			6314
	PB	60600			6246
	PB	60840			6163
	PB	60920			5692
	PB	61240			7091
	PB	61320			5522
	PB	61640			7006
	PB	61720			5415
	PB	61960			7037
	PB	62200			6062
	PB	62360			6497
	P	62480			3135
	P	62560			2755
	PB	62720			6345
	P	62840			2720
	P	62920			3407
	PB	63160			7015
	PB	63400			6611
	PB	63560			6369
	PB	63800			6593
	PB	63960			6325
	PB	64200			7181
	PB	64360			6042
	PB	64600			7129
	PB	64840			6351
	PB	65000			6104
	PB	65240			7492
	PB	65400			6301
	PB	65640			6779
	PB	65880			6883
	PB	66040			6049
