347		I		13920		8523
348		B		13840		5216
349		B		13880		5126
350		P		14040		7491
351		B		13960		5379
352		B		14000		5526
353		P		14160		6918
354		B		14080		6128
355		B		14120		6036
356		P		14280		7268
357		B		14200		5384
358		B		14240		5257
359		I		14400		8526
360		B		14320		5700
361		B		14360		6014
362		P		14520		7569
363		B		14440		5964
364		B		14480		5875
365		P		14640		6539
366		B		14560		6208
367		B		14600		5078
368		P		14760		6265
369		B		14680		4138
370		B		14720		4356
371		I		14880		8470
372		B		14800		4899
373		B		14840		4535
374		P		15000		7068
375		B		14920		4680
376		B		14960		4833
377		P		15120		7352
378		B		15040		5505
379		B		15080		5285
380		P		15240		7277
381		B		15160		5448
382		B		15200		5604
383		I		15360		8376
384		B		15280		6253
385		B		15320		6280
386		P		15480		8260
387		B		15400		6957
388		B		15440		7031
389		P		15600		7849
390		B		15520		7018
391		B		15560		6812
392		P		15720		7587
393		B		15640		6553
394		B		15680		6834
395		I		15840		8418
396		B		15760		6756
397		B		15800		7001
398		P		15960		7139
399		B		15880		6990
400		B		15920		6986
401		P		16080		7203
402		B		16000		6912
403		B		16040		6551
404		P		16200		7433
405		B		16120		6263
406		B		16160		6270
407		I		16320		8261
408		B		16240		6658
409		B		16280		6721
410		P		16440		7442
411		B		16360		6795
412		B		16400		7054
413		P		16560		7247
414		B		16480		6606
415		B		16520		6495
416		P		16680		7515
417		B		16600		6288
418		B		16640		6561
419		I		16800		7627
420		B		16720		6393
421		B		16760		6272
422		P		16920		7692
423		B		16840		6087
424		B		16880		6324
425		P		17040		7258
426		B		16960		6239
427		B		17000		6281
428		P		17160		6934
429		B		17080		6304
430		B		17120		6217
431		I		17280		7622
432		B		17200		5328
433		B		17240		5488
434		P		17400		6789
435		B		17320		5559
436		B		17360		5519
437		P		17520		6796
438		B		17440		5868
439		B		17480		6236
440		P		17640		7213
441		B		17560		6122
442		B		17600		6136
443		I		17760		7430
444		B		17680		6141
445		B		17720		6241
446		P		17880		6583
447		B		17800		6215
448		B		17840		5755
449		P		18000		6482
450		B		17920		5840
451		B		17960		5845
452		P		18120		6911
453		B		18040		6044
454		B		18080		5829
455		I		18240		7445
456		B		18160		6052
457		B		18200		6199
458		P		18360		7134
459		B		18280		6204
460		B		18320		6360
461		P		18480		6921
462		B		18400		6716
463		B		18440		6403
464		P		18600		3902
465		B		18520		1319
466		B		18560		1007
467		I		18720		3018
468		B		18640		703
469		B		18680		642
470		P		18840		836
471		B		18760		516
472		B		18800		531
473		P		18960		825
474		B		18880		562
475		B		18920		666
476		P		19080		885
477		B		19000		651
478		B		19040		605
479		I		19200		3047
480		B		19120		567
481		B		19160		570
482		P		19320		946
483		B		19240		749
484		B		19280		748
485		P		19440		1230
486		B		19360		674
487		B		19400		685
488		P		19560		1208
489		B		19480		815
490		B		19520		804
491		I		19680		3159
492		B		19600		707
493		B		19640		645
494		P		19800		878
495		B		19720		617
496		B		19760		646
497		P		19920		807
498		B		19840		532
499		B		19880		763
500		P		20040		958
501		B		19960		514
502		B		20000		635
503		I		20160		3140
504		B		20080		574
505		B		20120		574
506		P		20280		903
507		B		20200		604
508		B		20240		674
509		P		20400		1117
510		B		20320		572
511		B		20360		606
512		P		20520		1157
513		B		20440		679
514		B		20480		753
515		I		20640		3297
516		B		20560		699
517		B		20600		613
518		P		20760		1187
519		B		20680		718
520		B		20720		708
521		P		20880		1195
522		B		20800		695
523		B		20840		770
524		P		21000		9212
525		B		20920		1219
526		B		20960		6539
527		I		21120		8124
528		B		21040		6442
529		B		21080		6237
530		P		21240		7581
531		B		21160		6184
532		B		21200		6173
533		P		21360		7482
534		B		21280		6331
535		B		21320		6567
536		P		21480		7130
537		B		21400		6410
538		B		21440		6223
539		I		21600		7512
540		B		21520		6549
541		B		21560		6540
542		P		21720		7894
543		B		21640		6548
544		B		21680		6871
545		P		21840		7530
546		B		21760		6687
547		B		21800		6726
548		P		21960		7323
549		B		21880		6399
550		B		21920		6624
551		I		22080		7174
552		B		22000		6510
553		B		22040		6434
554		P		22200		7055
555		B		22120		5772
556		B		22160		6107
557		P		22320		6847
558		B		22240		6033
559		B		22280		6100
560		P		22440		6924
561		B		22360		6119
562		B		22400		6630
563		I		22560		6449
564		B		22480		6134
565		B		22520		302
