617		P		24720		2081
618		B		24640		1308
619		B		24680		2372
620		P		24840		3092
621		B		24760		1524
622		B		24800		1256
623		I		24960		5045
624		B		24880		1676
625		B		24920		1376
626		P		25080		3232
627		B		25000		1387
628		B		25040		1333
629		P		25200		2334
630		B		25120		1051
631		B		25160		1220
632		P		25320		2408
633		B		25240		1397
634		B		25280		1695
635		I		25440		5078
636		B		25360		1229
637		B		25400		1359
638		P		25560		1181
639		B		25480		2481
640		B		25520		2054
641		P		25680		2008
642		B		25600		987
643		B		25640		1565
644		P		25800		1699
645		B		25720		1913
646		B		25760		1125
647		I		25920		5049
648		B		25840		933
649		B		25880		1387
650		P		26040		1706
651		B		25960		1984
652		B		26000		2060
653		P		26160		1544
654		B		26080		1575
655		B		26120		1373
656		P		26280		1514
657		B		26200		1277
658		B		26240		967
659		I		26400		5002
660		B		26320		1141
661		B		26360		1551
662		P		26520		1457
663		B		26440		1235
664		B		26480		1729
665		P		26640		1748
666		B		26560		2264
667		B		26600		1429
668		P		26760		1746
669		B		26680		1035
670		B		26720		915
671		I		26880		5035
672		B		26800		1451
673		B		26840		1225
674		P		27000		2976
675		B		26920		1388
676		B		26960		1729
677		P		27120		1482
678		B		27040		927
679		B		27080		961
680		P		27240		1287
681		B		27160		1820
682		B		27200		1568
683		I		27360		5025
684		B		27280		1466
685		B		27320		1144
686		P		27480		2187
687		B		27400		1243
688		B		27440		1336
689		P		27600		1563
690		B		27520		1475
691		B		27560		1192
692		P		27720		1866
693		B		27640		1099
694		B		27680		1374
695		I		27840		5027
696		B		27760		1004
697		B		27800		1102
698		P		27960		1995
699		B		27880		1527
700		B		27920		1023
701		P		28080		2137
702		B		28000		1310
703		B		28040		945
704		P		28200		1488
705		B		28120		1000
706		B		28160		1072
707		I		28320		5042
708		B		28240		1623
709		B		28280		1242
710		P		28440		1398
711		B		28360		2012
712		B		28400		1665
713		P		28560		1753
714		B		28480		1569
715		B		28520		1135
716		P		28680		2232
717		B		28600		933
718		B		28640		1209
719		I		28800		4980
720		B		28720		951
721		B		28760		1397
722		P		28920		3032
723		B		28840		1274
724		B		28880		1189
725		P		29040		1863
726		B		28960		920
727		B		29000		1215
728		P		29160		1937
729		B		29080		1482
730		B		29120		1023
731		I		29280		4991
732		B		29200		1379
733		B		29240		1468
734		P		29400		2415
735		B		29320		1215
736		B		29360		1328
737		P		29520		1697
738		B		29440		1460
739		B		29480		1706
740		P		29640		2579
741		B		29560		1790
742		B		29600		1805
743		I		29760		4866
744		B		29680		1055
745		B		29720		1188
746		P		29880		1874
747		B		29800		1001
748		B		29840		1790
749		P		30000		2161
750		B		29920		1345
751		B		29960		1016
752		P		30120		2178
753		B		30040		1670
754		B		30080		1849
755		I		30240		4930
756		B		30160		1499
757		B		30200		964
758		P		30360		3335
759		B		30280		1623
760		B		30320		1287
761		P		30480		1746
762		B		30400		1154
763		B		30440		1692
764		P		30600		2767
765		B		30520		1102
766		B		30560		1232
767		I		30720		4902
768		B		30640		1413
769		B		30680		1693
770		P		30840		3089
771		B		30760		1158
772		B		30800		1449
773		P		30960		1826
774		B		30880		1315
775		B		30920		2108
776		P		31080		1596
777		B		31000		1598
778		B		31040		1140
779		I		31200		4924
780		B		31120		1320
781		B		31160		1256
782		P		31320		1826
783		B		31240		1224
784		B		31280		1206
785		P		31440		1459
786		B		31360		1386
787		B		31400		800
788		P		31560		1526
789		B		31480		1427
790		B		31520		1350
791		I		31680		5029
792		B		31600		1143
793		B		31640		822
794		P		31800		1636
795		B		31720		1286
796		B		31760		1496
797		P		31920		1612
798		B		31840		1393
799		B		31880		1293
800		P		32040		1832
801		B		31960		1501
802		B		32000		1794
803		I		32160		4859
804		B		32080		1319
805		B		32120		893
806		P		32280		2801
807		B		32200		1179
808		B		32240		1673
809		P		32400		1641
810		B		32320		1175
811		B		32360		1314
812		P		32520		1526
813		B		32440		947
814		B		32480		1499
815		I		32640		4824
816		B		32560		1594
817		B		32600		1284
818		P		32760		2683
819		B		32680		1292
820		B		32720		1373
821		P		32880		2440
822		B		32800		2710
823		B		32840		1944
824		P		33000		2329
825		B		32920		1775
826		B		32960		1341
827		I		33120		5245
828		B		33040		1442
829		B		33080		1432
830		P		33240		2525
831		B		33160		1809
832		B		33200		1649
833		P		33360		2833
834		B		33280		1801
835		B		33320		2522
836		P		33480		3766
837		B		33400		1545
838		B		33440		1573
839		I		33600		5779
840		B		33520		1780
841		B		33560		1927
842		P		33720		2338
843		B		33640		1238
844		B		33680		1403
845		P		33840		4322
846		B		33760		2453
847		B		33800		2196
848		P		33960		3646
849		B		33880		1954
850		B		33920		1715
851		I		34080		6507
852		B		34000		1937
853		B		34040		1357
854		P		34200		2399
855		B		34120		2130
856		B		34160		1299
857		P		34320		3715
858		B		34240		3474
859		B		34280		2612
860		P		34440		2160
861		B		34360		2782
862		B		34400		2141
863		I		34560		7445
864		B		34480		2463
865		B		34520		1665
866		P		34680		3324
867		B		34600		1796
868		B		34640		2050
869		P		34800		4086
870		B		34720		2832
871		B		34760		1820
872		P		34920		2633
873		B		34840		3210
874		B		34880		2383
875		I		35040		7351
876		B		34960		1453
877		B		35000		2062
